uuid,e2261e46-529c-431f-849f-ea71ac6b06ac
comparison uuids,49b33462-e689-42ce-ae62-e4931f51b943,5107fc5d-b98e-45a8-8f7b-2d1f5cfdfc8a,7db512c1-5edc-4fbf-a457-9e054b039082

,metricName,quantileName,P99_x,P99_y,difference,result
0,podLatencyQuantilesMeasurement,ContainersReady,41.0,41.0,0.0,Pass
1,podLatencyQuantilesMeasurement,Initialized,1.0,1.0,0.0,Pass
2,podLatencyQuantilesMeasurement,PodScheduled,1.0,1.0,0.0,Pass
3,podLatencyQuantilesMeasurement,Ready,41.0,41.0,0.0,Pass


,metricName,jobConfig.name,value_x,value_y,difference,result
0,crioCPU,garbage-collection,1.9565900533010796,2.21283024331374,13.096263552006837,Pass
1,crioCPU,node-density-heavy,2.5847096856239085,2.7257717748400467,5.457560282329665,Pass


,metricName,jobConfig.name,value_x,value_y,difference,result
0,crioMemory,garbage-collection,135127829.33333334,148386049.8962963,9.81161366120784,Pass
1,crioMemory,node-density-heavy,140612475.25925925,136310392.09876543,-3.059531632994661,Fail

,metricName,jobConfig.name,value_x,value_y,difference,result
0,kubeletCPU,garbage-collection,7.802577932159569,11.005040002954022,41.04364094327073,Pass
1,kubeletCPU,node-density-heavy,10.973965359056011,10.354848085281777,-5.6416915264209555,Fail

,metricName,jobConfig.name,value_x,value_y,difference,result
0,kubeletMemory,garbage-collection,187703850.66666666,195635533.74814814,4.2256368493829966,Pass
1,kubeletMemory,node-density-heavy,177857327.4074074,171622052.34567901,-3.505773505437648,Fail

,metricName,labels.mode,value_x,value_y,difference,result
0,nodeCPU-Workers,user,3.5473333333333334,3.5040000000000004,-1.2215748919375935,Pass
1,nodeCPU-Infra,user,3.5473333333333334,3.1679999999999993,-10.693478669423062,Fail
2,nodeCPU-Masters,user,3.5473333333333334,5.4899999999999975,54.7641420785566,Pass
3,nodeCPUSeconds-Masters,user,3.5473333333333334,9795.689999999999,276042.36045856035,Pass
4,nodeCPUSeconds-Masters-start,user,3.5473333333333334,8585.410000000002,241924.33753053943,Pass

,metricName,jobConfig.name,value_x,value_y,difference,result
0,nodeMemoryUtilization-Workers,garbage-collection,7738400768.0,10536808448.0,36.16260987117694,Pass
1,nodeMemoryUtilization-Workers,node-density-heavy,7672770560.0,10343047168.0,34.80198693703673,Pass
2,cgroupCPUSeconds-Masters,garbage-collection,7672770560.0,9898.080573,-99.99987099730801,Fail
3,cgroupCPUSeconds-Masters,node-density-heavy,7672770560.0,8530.210117999999,-99.99988882490292,Fail
4,cgroupCPUSeconds-Masters-start,garbage-collection,7672770560.0,8561.895751,-99.99988841194084,Fail
5,cgroupCPUSeconds-Masters-start,node-density-heavy,7672770560.0,6681.145903,-99.99991292394513,Fail
6,cpu-masters,garbage-collection,7672770560.0,3.859052783797219,-99.99999994970457,Fail
7,cpu-masters,node-density-heavy,7672770560.0,3.9361867117317333,-99.99999994869928,Fail
8,cpu-masters-start,garbage-collection,7672770560.0,3.882367405305072,-99.9999999494007,Fail
9,cpu-masters-start,node-density-heavy,7672770560.0,2.5798865412102767,-99.99999996637608,Fail
10,max-memory-masters,garbage-collection,7672770560.0,12428308480.0,61.979409951234096,Pass
11,max-memory-masters,node-density-heavy,7672770560.0,12663382016.0,65.04314728264207,Pass
12,max-memory-masters-start,garbage-collection,7672770560.0,12663382016.0,65.04314728264207,Pass
13,max-memory-masters-start,node-density-heavy,7672770560.0,12663382016.0,65.04314728264207,Pass
14,memory-masters,garbage-collection,7672770560.0,10275292615.11111,33.91893495002554,Pass
15,memory-masters,node-density-heavy,7672770560.0,9644492231.11111,25.69764931314602,Pass
16,memory-masters-start,garbage-collection,7672770560.0,9644492231.11111,25.69764931314602,Pass
17,memory-masters-start,node-density-heavy,7672770560.0,8988589554.871796,17.149202945432474,Pass
18,nodeCPU-Masters,garbage-collection,7672770560.0,7.059999999999991,-99.99999990798631,Fail
19,nodeCPU-Masters,node-density-heavy,7672770560.0,7.180666666666654,-99.99999990641363,Fail
20,nodeCPUSeconds-Masters,garbage-collection,7672770560.0,53659.86,-99.99930064558062,Fail
21,nodeCPUSeconds-Masters,node-density-heavy,7672770560.0,51224.67999999999,-99.99933238352952,Fail
22,nodeCPUSeconds-Masters-start,garbage-collection,7672770560.0,51433.06999999998,-99.99932966756144,Fail
23,nodeCPUSeconds-Masters-start,node-density-heavy,7672770560.0,49139.650000000016,-99.99935955793782,Fail
24,nodeMemoryUtilization-Infra,garbage-collection,7672770560.0,10536808448.0,37.32729742931347,Pass
25,nodeMemoryUtilization-Infra,node-density-heavy,7672770560.0,10363678720.0,35.07088005509187,Pass
26,nodeMemoryUtilization-Masters,garbage-collection,7672770560.0,12082696192.0,57.47500980923377,Pass
27,nodeMemoryUtilization-Masters,node-density-heavy,7672770560.0,12422815744.0,61.90782256363991,Pass